Date,PCODE,Country,Rainfall - (MM),Province,City,Year,Month,Quarter
1982/11/08,PK5,Pakistan,26,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1982,August,Q1
1982/08/21,PK5,Pakistan,18,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1982,August,Q1
1982/01/09,PK5,Pakistan,10,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1982,September,Q1
1982/11/09,PK5,Pakistan,12,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1982,September,Q1
1982/09/21,PK5,Pakistan,12,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1982,September,Q1
1982/01/10,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1982,October,Q2
1982/11/10,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1982,October,Q2
1982/10/21,PK5,Pakistan,5,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1982,October,Q2
1982/01/11,PK5,Pakistan,8,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1982,November,Q2
1982/11/11,PK5,Pakistan,16,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1982,November,Q2
1982/11/21,PK5,Pakistan,6,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1982,November,Q2
1982/01/12,PK5,Pakistan,17,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1982,December,Q2
1982/11/12,PK5,Pakistan,17,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1982,December,Q2
1982/12/21,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1982,December,Q2
1983/01/01,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,January,Q3
1983/11/01,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,January,Q3
1983/01/21,PK5,Pakistan,26,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,January,Q3
1983/01/02,PK5,Pakistan,2,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,February,Q3
1983/11/02,PK5,Pakistan,19,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,February,Q3
1983/02/21,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,February,Q3
1983/01/03,PK5,Pakistan,42,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,March,Q3
1983/11/03,PK5,Pakistan,11,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,March,Q3
1983/03/21,PK5,Pakistan,12,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,March,Q3
1983/01/04,PK5,Pakistan,17,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,April,Q4
1983/11/04,PK5,Pakistan,20,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,April,Q4
1983/04/21,PK5,Pakistan,13,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,April,Q4
1983/01/05,PK5,Pakistan,10,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,May,Q4
1983/11/05,PK5,Pakistan,12,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,May,Q4
1983/05/21,PK5,Pakistan,8,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,May,Q4
1983/01/06,PK5,Pakistan,10,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,June,Q4
1983/11/06,PK5,Pakistan,12,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,June,Q4
1983/06/21,PK5,Pakistan,10,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,June,Q4
1983/01/07,PK5,Pakistan,28,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,July,Q1
1983/07/21,PK5,Pakistan,20,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,July,Q1
1983/01/08,PK5,Pakistan,59,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,August,Q1
1983/11/08,PK5,Pakistan,34,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,August,Q1
1983/08/21,PK5,Pakistan,59,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,August,Q1
1983/01/09,PK5,Pakistan,31,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,September,Q1
1983/11/09,PK5,Pakistan,13,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,September,Q1
1983/09/21,PK5,Pakistan,11,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,September,Q1
1983/10/21,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,October,Q2
1983/01/11,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,November,Q2
1983/11/12,PK5,Pakistan,6,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,December,Q2
1983/12/21,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1983,December,Q2
1984/01/01,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,January,Q3
1984/11/01,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,January,Q3
1984/01/02,PK5,Pakistan,18,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,February,Q3
1984/11/02,PK5,Pakistan,28,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,February,Q3
1984/02/21,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,February,Q3
1984/01/03,PK5,Pakistan,21,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,March,Q3
1984/11/03,PK5,Pakistan,37,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,March,Q3
1984/03/21,PK5,Pakistan,32,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,March,Q3
1984/01/04,PK5,Pakistan,23,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,April,Q4
1984/11/04,PK5,Pakistan,33,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,April,Q4
1984/04/21,PK5,Pakistan,16,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,April,Q4
1984/01/05,PK5,Pakistan,10,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,May,Q4
1984/11/05,PK5,Pakistan,12,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,May,Q4
1984/05/21,PK5,Pakistan,8,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,May,Q4
1984/11/06,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,June,Q4
1984/06/21,PK5,Pakistan,18,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,June,Q4
1984/01/07,PK5,Pakistan,35,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,July,Q1
1984/11/07,PK5,Pakistan,47,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,July,Q1
1984/07/21,PK5,Pakistan,23,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,July,Q1
1984/01/08,PK5,Pakistan,23,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,August,Q1
1984/11/08,PK5,Pakistan,73,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,August,Q1
1984/08/21,PK5,Pakistan,78,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,August,Q1
1984/01/09,PK5,Pakistan,31,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,September,Q1
1984/11/09,PK5,Pakistan,11,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,September,Q1
1984/09/21,PK5,Pakistan,12,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,September,Q1
1984/01/10,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,October,Q2
1984/10/21,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,October,Q2
1984/01/11,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,November,Q2
1984/11/11,PK5,Pakistan,14,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,November,Q2
1984/11/21,PK5,Pakistan,5,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,November,Q2
1984/01/12,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,December,Q2
1984/11/12,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1984,December,Q2
1985/01/01,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,January,Q3
1985/11/01,PK5,Pakistan,20,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,January,Q3
1985/01/02,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,February,Q3
1985/11/02,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,February,Q3
1985/02/21,PK5,Pakistan,11,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,February,Q3
1985/01/03,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,March,Q3
1985/11/03,PK5,Pakistan,8,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,March,Q3
1985/03/21,PK5,Pakistan,24,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,March,Q3
1985/01/04,PK5,Pakistan,19,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,April,Q4
1985/11/04,PK5,Pakistan,6,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,April,Q4
1985/04/21,PK5,Pakistan,11,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,April,Q4
1985/01/05,PK5,Pakistan,23,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,May,Q4
1985/11/05,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,May,Q4
1985/05/21,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,May,Q4
1985/01/06,PK5,Pakistan,6,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,June,Q4
1985/11/06,PK5,Pakistan,6,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,June,Q4
1985/06/21,PK5,Pakistan,6,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,June,Q4
1985/01/07,PK5,Pakistan,10,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,July,Q1
1985/11/07,PK5,Pakistan,15,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,July,Q1
1985/07/21,PK5,Pakistan,57,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,July,Q1
1985/01/08,PK5,Pakistan,31,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,August,Q1
1985/11/08,PK5,Pakistan,27,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,August,Q1
1985/08/21,PK5,Pakistan,28,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,August,Q1
1985/01/09,PK5,Pakistan,8,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,September,Q1
1985/11/09,PK5,Pakistan,8,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,September,Q1
1985/09/21,PK5,Pakistan,8,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,September,Q1
1985/01/10,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,October,Q2
1985/11/10,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,October,Q2
1985/10/21,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,October,Q2
1985/01/11,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,November,Q2
1985/01/12,PK5,Pakistan,14,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,December,Q2
1985/11/12,PK5,Pakistan,23,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,December,Q2
1985/12/21,PK5,Pakistan,42,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1985,December,Q2
1986/01/01,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,January,Q3
1986/11/01,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,January,Q3
1986/01/21,PK5,Pakistan,8,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,January,Q3
1986/01/02,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,February,Q3
1986/11/02,PK5,Pakistan,44,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,February,Q3
1986/02/21,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,February,Q3
1986/01/03,PK5,Pakistan,25,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,March,Q3
1986/11/03,PK5,Pakistan,60,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,March,Q3
1986/03/21,PK5,Pakistan,14,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,March,Q3
1986/01/04,PK5,Pakistan,14,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,April,Q4
1986/11/04,PK5,Pakistan,10,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,April,Q4
1986/04/21,PK5,Pakistan,32,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,April,Q4
1986/01/05,PK5,Pakistan,9,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,May,Q4
1986/05/21,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,May,Q4
1986/01/06,PK5,Pakistan,9,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,June,Q4
1986/11/06,PK5,Pakistan,10,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,June,Q4
1986/06/21,PK5,Pakistan,19,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,June,Q4
1986/01/07,PK5,Pakistan,27,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,July,Q1
1986/11/07,PK5,Pakistan,25,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,July,Q1
1986/01/08,PK5,Pakistan,71,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,August,Q1
1986/11/08,PK5,Pakistan,27,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,August,Q1
1986/08/21,PK5,Pakistan,22,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,August,Q1
1986/01/09,PK5,Pakistan,15,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,September,Q1
1986/11/09,PK5,Pakistan,11,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,September,Q1
1986/09/21,PK5,Pakistan,12,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,September,Q1
1986/01/11,PK5,Pakistan,6,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,November,Q2
1986/11/11,PK5,Pakistan,9,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,November,Q2
1986/11/21,PK5,Pakistan,28,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,November,Q2
1986/01/12,PK5,Pakistan,30,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,December,Q2
1986/11/12,PK5,Pakistan,12,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,December,Q2
1986/12/21,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1986,December,Q2
1987/01/01,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,January,Q3
1987/11/01,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,January,Q3
1987/01/21,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,January,Q3
1987/01/02,PK5,Pakistan,9,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,February,Q3
1987/11/02,PK5,Pakistan,31,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,February,Q3
1987/02/21,PK5,Pakistan,34,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,February,Q3
1987/01/03,PK5,Pakistan,25,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,March,Q3
1987/11/03,PK5,Pakistan,33,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,March,Q3
1987/03/21,PK5,Pakistan,49,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,March,Q3
1987/01/04,PK5,Pakistan,17,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,April,Q4
1987/04/21,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,April,Q4
1987/01/05,PK5,Pakistan,14,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,May,Q4
1987/05/21,PK5,Pakistan,17,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,May,Q4
1987/01/06,PK5,Pakistan,19,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,June,Q4
1987/11/06,PK5,Pakistan,11,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,June,Q4
1987/06/21,PK5,Pakistan,11,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,June,Q4
1987/01/07,PK5,Pakistan,15,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,July,Q1
1987/11/07,PK5,Pakistan,16,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,July,Q1
1987/07/21,PK5,Pakistan,23,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,July,Q1
1987/01/08,PK5,Pakistan,11,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,August,Q1
1987/11/08,PK5,Pakistan,16,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,August,Q1
1987/08/21,PK5,Pakistan,24,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,August,Q1
1987/01/09,PK5,Pakistan,11,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,September,Q1
1987/11/09,PK5,Pakistan,11,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,September,Q1
1987/09/21,PK5,Pakistan,13,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,September,Q1
1987/01/10,PK5,Pakistan,31,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,October,Q2
1987/11/10,PK5,Pakistan,8,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,October,Q2
1987/10/21,PK5,Pakistan,8,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,October,Q2
1987/01/11,PK5,Pakistan,2,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,November,Q2
1987/01/12,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,December,Q2
1987/11/12,PK5,Pakistan,2,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,December,Q2
1987/12/21,PK5,Pakistan,16,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1987,December,Q2
1988/01/01,PK5,Pakistan,27,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,January,Q3
1988/11/01,PK5,Pakistan,12,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,January,Q3
1988/01/21,PK5,Pakistan,13,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,January,Q3
1988/11/02,PK5,Pakistan,16,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,February,Q3
1988/02/21,PK5,Pakistan,21,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,February,Q3
1988/01/03,PK5,Pakistan,71,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,March,Q3
1988/11/03,PK5,Pakistan,32,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,March,Q3
1988/03/21,PK5,Pakistan,17,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,March,Q3
1988/01/04,PK5,Pakistan,29,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,April,Q4
1988/11/04,PK5,Pakistan,5,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,April,Q4
1988/04/21,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,April,Q4
1988/01/05,PK5,Pakistan,5,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,May,Q4
1988/05/21,PK5,Pakistan,6,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,May,Q4
1988/01/06,PK5,Pakistan,16,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,June,Q4
1988/11/06,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,June,Q4
1988/06/21,PK5,Pakistan,17,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,June,Q4
1988/01/07,PK5,Pakistan,31,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,July,Q1
1988/11/07,PK5,Pakistan,24,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,July,Q1
1988/07/21,PK5,Pakistan,50,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,July,Q1
1988/01/08,PK5,Pakistan,32,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,August,Q1
1988/11/08,PK5,Pakistan,26,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,August,Q1
1988/08/21,PK5,Pakistan,39,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,August,Q1
1988/01/09,PK5,Pakistan,12,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,September,Q1
1988/11/09,PK5,Pakistan,14,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,September,Q1
1988/09/21,PK5,Pakistan,13,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,September,Q1
1988/01/10,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,October,Q2
1988/11/10,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,October,Q2
1988/10/21,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,October,Q2
1988/01/11,PK5,Pakistan,2,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,November,Q2
1988/11/21,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,November,Q2
1988/01/12,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,December,Q2
1988/11/12,PK5,Pakistan,18,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,December,Q2
1988/12/21,PK5,Pakistan,17,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1988,December,Q2
1989/01/01,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,January,Q3
1989/11/01,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,January,Q3
1989/01/21,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,January,Q3
1989/01/02,PK5,Pakistan,8,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,February,Q3
1989/11/02,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,February,Q3
1989/02/21,PK5,Pakistan,14,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,February,Q3
1989/01/03,PK5,Pakistan,9,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,March,Q3
1989/11/03,PK5,Pakistan,41,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,March,Q3
1989/03/21,PK5,Pakistan,18,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,March,Q3
1989/01/04,PK5,Pakistan,7,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,April,Q4
1989/11/04,PK5,Pakistan,6,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,April,Q4
1989/04/21,PK5,Pakistan,20,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,April,Q4
1989/01/05,PK5,Pakistan,17,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,May,Q4
1989/11/05,PK5,Pakistan,9,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,May,Q4
1989/05/21,PK5,Pakistan,8,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,May,Q4
1989/01/06,PK5,Pakistan,9,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,June,Q4
1989/11/06,PK5,Pakistan,8,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,June,Q4
1989/01/07,PK5,Pakistan,18,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,July,Q1
1989/11/07,PK5,Pakistan,29,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,July,Q1
1989/07/21,PK5,Pakistan,55,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,July,Q1
1989/01/08,PK5,Pakistan,17,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,August,Q1
1989/11/08,PK5,Pakistan,27,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,August,Q1
1989/08/21,PK5,Pakistan,33,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,August,Q1
1989/01/09,PK5,Pakistan,14,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,September,Q1
1989/11/09,PK5,Pakistan,15,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,September,Q1
1989/09/21,PK5,Pakistan,19,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,September,Q1
1989/01/10,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,October,Q2
1989/11/10,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,October,Q2
1989/10/21,PK5,Pakistan,5,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,October,Q2
1989/01/11,PK5,Pakistan,4,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,November,Q2
1989/11/11,PK5,Pakistan,5,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,November,Q2
1989/11/21,PK5,Pakistan,3,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,November,Q2
1989/01/12,PK5,Pakistan,9,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,December,Q2
1989/11/12,PK5,Pakistan,11,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,December,Q2
1989/12/21,PK5,Pakistan,12,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,1989,December,Q2
